"id","name","name@es","name@ca","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fp_rebu","REBU - Used Artistic Goods","REBU - Bienes Usados Artísticos","REBU - Béns Usats Artístics","","account_tax_template_p_iva4_bc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_p_iva4_sc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_p_iva10_bc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_p_iva10_sc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_p_iva21_bc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_p_iva21_sc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_p_iva0_bc","account_tax_template_p_rebu0","",""
"","","","","","account_tax_template_s_iva4b","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva4s","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva10b","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva10s","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva21b","account_tax_template_s_rebu0","",""
"","","","","","account_tax_template_s_iva21s","account_tax_template_s_rebu0","",""
